,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE
0,Karapakkam,1004,1,1,3,1,Commercial,AllPub,Paved,A,7600000,44
1,Anna Nagar,1986,2,1,5,0,Commercial,AllPub,Gravel,RH,21717770,11
2,Adyar,909,1,1,3,1,Commercial,ELO,Gravel,RL,13159200,20
3,Velachery,1855,3,2,5,0,Others,NoSeWa,Paved,I,9630290,22
4,Karapakkam,1226,1,1,3,1,Others,AllPub,Gravel,C,7406250,30
5,Chrompet,1220,2,1,4,0,Commercial,NoSeWa,No Access,RH,12394750,5
6,Chrompet,1167,1,1,3,0,Others,AllPub,No Access,RL,8488790,28
7,Velachery,1847,3,2,5,0,Commercial,AllPub,Gravel,RM,16800250,10
8,Chrompet,771,1,1,2,0,Others,NoSeWa,Paved,RM,8308970,34
9,Velachery,1635,2,1,4,0,Others,ELO,No Access,I,8083650,15
10,Chrompet,1203,2,1,4,1,Commercial,AllPub,No Access,RM,14938000,28
11,Chrompet,1054,1,1,3,0,Others,NoSeWa,Gravel,RM,9449730,37
12,Chrompet,1196,1,1,3,0,Others,NoSeWa,No Access,RL,8774370,19
13,Adyar,1056,1,1,3,1,Others,NoSeWa,Paved,RH,9386490,26
14,Velachery,1865,3,2,5,0,Commercial,NoSeWa,Paved,RM,15499680,54
15,Velachery,1868,3,2,5,0,Commercial,NoSeWa,Gravel,RH,15714080,9
16,Karapakkam,1639,2,2,4,1,House,ELO,Gravel,I,8656000,18
17,Chrompet,796,1,1,2,1,Commercial,AllPub,No Access,RL,10912550,36
18,Adyar,1136,1,1,3,1,Others,AllPub,Paved,A,8287550,30
19,Anna Nagar,1902,2,1,5,1,Commercial,ELO,Paved,RL,21203240,42
20,Chrompet,1069,1,1,3,1,Others,NoSeWa,Paved,RM,10905530,4
21,Chrompet,931,1,1,3,1,Others,ELO,Paved,RL,9185970,22
22,KK Nagar,2010,3,2,5,0,Others,NoSeWa,Gravel,RH,10925400,10
23,Chrompet,1074,1,1,3,0,Others,NoSeWa,Gravel,RL,9627380,16
24,T Nagar,1972,2,1,5,0,Others,NoSeWa,No Access,RH,13922760,5
25,T Nagar,1685,1,1,4,0,House,NoSeWa,Gravel,RM,12601080,34
26,Adyar,1130,1,1,3,1,Commercial,ELO,Paved,RH,13383350,30
27,Karapakkam,1301,1,1,3,1,Others,NoSeWa,Gravel,C,7939625,7
28,Adyar,730,1,1,2,1,House,ELO,Gravel,RL,8848285,39
29,T Nagar,1806,2,1,5,0,House,NoSeWa,Paved,RH,11338200,35
30,Anna Nagar,1981,2,1,5,0,House,ELO,No Access,RL,12872430,9
31,Adyar,868,1,1,3,0,Others,NoSeWa,Gravel,RL,9042050,10
32,T Nagar,1721,1,1,4,1,Others,ELO,Paved,RM,14874380,20
33,Velachery,1755,2,1,4,1,Others,AllPub,Gravel,A,10222380,19
34,Anna Nagar,1709,1,1,4,0,Others,NoSeWa,Gravel,RH,12928590,6
35,KK Nagar,2114,3,2,5,1,Commercial,NoSeWa,Gravel,RH,17564820,21
36,Karapakkam,1226,1,1,3,0,House,AllPub,Paved,A,4971250,27
37,Velachery,1648,2,1,4,1,Others,NoSeWa,Paved,C,9170660,13
38,Chrompet,856,1,1,3,1,Others,NoSeWa,Gravel,RM,10383420,26
39,Adyar,904,1,1,3,0,Commercial,ELO,No Access,RM,11601400,40
40,Chrompet,1198,1,1,3,0,Others,AllPub,No Access,RH,8249260,36
41,Karapakkam,931,1,1,3,0,Commercial,AllPub,Paved,A,6944500,18
42,Karapakkam,1290,1,1,3,1,House,AllPub,Paved,RH,7745000,48
43,Karapakkam,507,1,1,2,1,House,ELO,Gravel,RH,5728000,46
44,KK Nagar,2492,4,2,6,0,Commercial,NoSeWa,Paved,RL,18725520,16
45,Karapakkam,851,1,1,2,0,House,AllPub,No Access,C,3572250,29
46,T Nagar,1882,2,1,5,1,Others,ELO,Gravel,RM,16051580,21
47,Anna Nagar,1710,1,1,4,1,Commercial,AllPub,Gravel,RH,20215970,11
